srxname,sraname,samples,library_layout
SRX017058,SRR036737,Nelfa_SRX017058,single
SRX6768008,SRR10032683,H3K27me3_SRX6768008,paired
SRX19148013,SRR23199099,H3K27ac_SRX19148013,single
SRX2752338,SRR5466745,H3K4me1_SRX2752338,single
SRX5382140,SRR8581420,H3K4me3_SRX5382140,paired
SRX015831,SRR034190,Suz12_SRX015831,single
SRR10095137,SRR10095137,RING1B_SRR10095137,single
SRX317662,SRR925652,H3K9me3_SRX317662,single
SRX112184,SRR391050,Ser5P_SRX112184,single
SRX112179,SRR391039,Ser2P_SRX112179,single
SRX2752360,SRR5466767,ATAC_SRX2752360,paired
